id,name,key
1,America East,AE
2,American Athletic Conference,AAC
3,Atlantic 10,A10
4,Atlantic Coast,ACC
5,Atlantic Sun,ASUN
6,Big 12,B12
7,Big East,BE
8,Big Sky,BSKY
9,Big South,BSOU
10,Big Ten,B10
11,Big West,BW
12,Colonial Athletic,CAC
13,Conference USA,CUSA
14,Horizon,HOR
15,Ivy League,IVY
16,Metro Atlantic Athletic,MAAC
17,Mid-American,MAC
18,Mid-Eastern,MEC
19,Missouri Valley,MVC
20,Mountain West,MW
21,Northeast,NEC
22,Ohio Valley,OVC
23,Pac-12,P12
24,Patriot League,PAT
25,Southeastern,SEC
26,Southern,SOU
27,Southland,SLND
28,Southwestern Athletic,SWAC
29,Summit League,SUM
30,Sun Belt,SUN
31,West Coast,WCC
32,Western Athletic,WAC
